"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03286335","Local Control, Quality of Life and Toxicities in Adults With Benign or Indolent Brain Tumors Undergoing Proton Radiation Therapy",,"Recruiting","No Results Available","Brain Tumor","Radiation: Proton Radiation","Duration of Local Control|Quality of Life Assessment EORTC-QLQ-C30|Quality of Life Assessment EORTC-QLQ-BN20|Quality of Life Assessment HADS|Vision Loss|Ototoxicity|Neuroendocrine dysfunction|Neurocognitive effects|Alopecia|CD4 count","Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","17-250","August 31, 2018","September 30, 2020","September 30, 2024","September 18, 2017","null","June 14, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT03286335"
2,"NCT02740933","Demeclocycline Fluorescence for Intraoperative Delineation Brain Tumors",,"Not yet recruiting","No Results Available","Brain Tumor","Drug: Demeclocycline","Detectable fluorescence in brain tumors by confocal microscopy after oral dosing of demeclocycline (Y/N).|Sensitivity And Specificity Of Demeclocycline-Enhanced Multimodal Confocal Microscopy of Excised Glioma Specimens","Massachusetts General Hospital","All","21 Years and older   (Adult, Older Adult)","Phase 1","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","15-280","April 2016","January 2019","January 2021","April 15, 2016","null","April 15, 2016","Massachusetts General Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT02740933"
3,"NCT03328858","Ketogenic Diet in Children With Malignant or Recurrent/Refractory Brain Tumor",,"Recruiting","No Results Available","Brain Tumors","Other: Ketogenic Diet","Overall Response Rate|Quality of Life Measures|Ketosis Levels|Blood Glucose Levels|Correlation of ketosis levels and ketogenic diet","Nicklaus Children's Hospital f/k/a Miami Children's Hospital","All","12 Months to 35 Years   (Child, Adult)","Not Applicable","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","MCH05817","November 1, 2017","November 30, 2022","November 30, 2023","November 1, 2017","null","March 2, 2018","Nicklaus Children's Hospital, Miami, Florida, United States","","https://ClinicalTrials.gov/show/NCT03328858"
4,"NCT02367469","Tryptophan Metabolism in Human Brain Tumors",,"Recruiting","No Results Available","Brain Tumors","","In newly diagnosed tumors|In previously treated tumors|Tryptophan metabolism","Wayne State University|National Cancer Institute (NCI)","All","13 Years and older   (Child, Adult, Older Adult)","","105","Other|NIH","Observational","Observational Model: Case-Control|Time Perspective: Prospective","NCI Tryptophan|CA123451","February 2014","January 2019","December 2019","February 20, 2015","null","December 5, 2017","Wayne State University, Detroit, Michigan, United States","","https://ClinicalTrials.gov/show/NCT02367469"
5,"NCT02956291","Multi-Parametric Quantitative MR Imaging in Evaluation of Brain Tumors",,"Recruiting","No Results Available","Brain Tumor","Device: Magnetic Resonance Fingerprinting","T1 relaxometry value of Region of Interest (ROI) in MRF scan for each tumor type|T2 relaxometry value of Region of Interest (ROI) in MRF scan for each tumor type|Number of patients whose clinical diagnosis and quantitative imaging diagnosis match|In treated tumors, difference in T1 relaxation times between baseline and 6 months post surgery|In treated tumors, difference in T2 relaxation times between baseline and 6 months post surgery|In treated tumors, difference in T1 and T2 relaxation times between recurrent tumor and radiation necrosis","Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","84","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CASE8316","February 15, 2017","June 2018","July 2019","November 7, 2016","null","October 26, 2017","University Hospitals Cleveland Medical Center, Seidman Cancer Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States","","https://ClinicalTrials.gov/show/NCT02956291"
6,"NCT02824731","Comparison of Proton and Photon Radiotherapy of Brain Tumors (ProtoChoice-Hirn)",,"Recruiting","No Results Available","Brain Tumors","Radiation: Radiation with protons|Radiation: Radiation with photons","late toxicity as cumulative measure|Local tumour control|Overall survival|acute toxicity","Technische Universität Dresden|German Cancer Research Center|National Center for Radiation Research in Oncology Dresden/Heidelberg","All","18 Years and older   (Adult, Older Adult)","Not Applicable","346","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STR - ProtoChoice-Hirn - 2015","July 2016","July 2025","July 2026","July 7, 2016","null","September 14, 2017","University Hospital Carl Gustav Carus, Department of Radiotherapy and Radiation Oncology, Dresden, Germany","","https://ClinicalTrials.gov/show/NCT02824731"
7,"NCT02947373","Pilot Study of Safety and Toxicity of Acquiring Hyperpolarized Carbon-13 Imaging in Children With Brain Tumors",,"Recruiting","No Results Available","Pediatric Brain Tumors","Drug: Hyperpolarized Pyruvate","Number of Participants With Adverse Events as Assessed by CTCAE v4.0. Analyses will be performed for all patients having received at least one dose of study drug.|Secondary analyses will include assessment of imaging quality, which will be descriptive in nature.","University of California, San Francisco","All","3 Years to 18 Years   (Child, Adult)","Phase 1","9","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","PNOC 011|16088","January 25, 2017","December 15, 2018","February 2019","October 27, 2016","null","June 28, 2018","UCSF Helen Diller Family Comprehensive Cancer Center, San Francisco, California, United States","","https://ClinicalTrials.gov/show/NCT02947373"
8,"NCT02428972","Assessment of Cognitive Functions and Quality of Life in Patients Undergoing Surgery for Supratentorial Brain Tumor",,"Not yet recruiting","No Results Available","Brain Tumor","Drug: Propofol|Drug: Sevoflurane","Cognitive functions|Adverse events","All India Institute of Medical Sciences, New Delhi","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care","IEC/NP-55/06.02.2015","August 2017","July 2018","July 2018","April 29, 2015","null","January 24, 2017","","","https://ClinicalTrials.gov/show/NCT02428972"
9,"NCT02914067","Cognitive Biomarkers in Pediatric Brain Tumor Patients",,"Recruiting","No Results Available","Childhood Brain Tumor","Other: Neurocognitive testing|Device: rsfcMRI","Identify reliable peri-diagnostic estimators of cognition as measured by neurocognitive testing|Identify reliable peri-diagnostic estimators of cognition as measured by advanced resting-state functional connectivity MRI (rsfcMRI) data|Predictors of cognitive recovery in children as determined by multiplexed analyses of a combination of potential biomarkers across multiple modalities (rsfcMRI, structural MRI, NIH Toolbox, patient demographics, treatment information)|Identify reliable peri-diagnostic estimators of brain function as measured by neurocognitive testing|Identify reliable peri-diagnostic estimators of brain function as measured by advanced resting-state functional connectivity MRI (rsfcMRI) data","Washington University School of Medicine","All","4 Years to 18 Years   (Child, Adult)","Phase 1","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","201609023","October 26, 2016","November 30, 2019","January 30, 2022","September 26, 2016","null","March 7, 2018","Washington University School of Medicine, Saint Louis, Missouri, United States","","https://ClinicalTrials.gov/show/NCT02914067"
10,"NCT02191488","ALA-induced PpIX Fluorescence During Brain Tumor Resection",,"Recruiting","No Results Available","Brain Tumors","Drug: 5-aminolevulinic acid","Comparison of intraoperative measurements of PpIX concentration to coregistered histopathology","David W. Roberts|National Institute of Neurological Disorders and Stroke (NINDS)|Dartmouth-Hitchcock Medical Center","All","21 Years and older   (Adult, Older Adult)","Phase 1","540","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","DMS 13066|R01NS052274-01A2","July 2014","July 2019","July 2020","July 16, 2014","null","March 15, 2018","Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States","","https://ClinicalTrials.gov/show/NCT02191488"
